taxa,prop_generalist,n_host_families,n_host_species
Ancylosoma,0,1,1
Ancylostomia,1,2,8
Ancyloxypha,1,1,9
Ancyloxypha Numitor,0,10,1
Andraca,0.5,3,3
Andraphisia,0,1,1
Andriasa,1,1,6
Andrioplecta,0.7142857142857143,10,73
Androloma,0,1,1
Androlymnia,0,1,1
Andronymus,0.25,5,7
Andropolia,0.5,8,10
Anepia,0,1,1
Anerastia,1,1,5
Anereuthina,0,1,1
Anestia,0,1,1
Anestia Semiochrea,0,1,1
Anetia,0.5,2,3
Angerona,1,16,23
Anhimella,1,2,2
Anicla,1,9,23
Anigraea,0.6666666666666666,10,12
Anilina,0,1,1
Anisephyra,0,1,1
Anisodes,0.07692307692307693,14,15
Anisogona,0,4,4
Anisoneura,0,1,1
Anisoplaca,0,2,2
Anisota,0.9,29,104
Anisozyga,0.6,10,11
Annaphila,0.25,18,21
Anoba,0.25,4,5
Anomis,0.5806451612903226,60,146
Anomogenes,0,1,1
Anonaepestis,0.5,2,4
Anoncia,0.3333333333333333,6,8
Anopina,0,2,2
Anopinella,0,1,1
Anorthodes,1,2,2
Anstenoptilia,1,5,6
Antanartia,0.8333333333333334,6,23
Anteos,1,5,6
Antepione,1,6,9
Anterastria,1,1,3
Anthanassa,0.5,6,18
Anthela,0.3125,23,23
Anthene,0.6875,85,112
Antheraea,0.7142857142857143,99,266
Antherina,1,10,11
Anthistarcha,0,1,1
Anthocharis,1,6,54
Anthophila,0.6666666666666666,3,5
Anthozela,0,1,1
Antiblemma,0,1,1
Anticarsia,1,10,44
Anticlea,0.75,6,10
Anticollix,1,2,2
Anticrates,0,1,1
Antigastra,1,5,9
Antigius,1,2,20
Antigonus,1,2,7
Antiophlebia,0,1,1
Antiracotis,1,2,2
Antispila,0.17391304347826086,24,27
Antistathmoptera,0,1,1
Antithyra,0,1,1
Antitrygodes,1,3,5
Antitype,1,12,18
Antivaleria,0,1,1
Anua,0.5,3,4
Anuga,1,7,9
Anypsipyla,1,3,4
Anypsipyla Univitella,0,4,3
Apamea,0.6046511627906976,75,136
Apatelodes,0.25,20,31
Apatetris,0.16666666666666666,7,8
Apatetris?,0,1,1
Apatura,0.75,7,16
Apaustus,1,1,2
Apeira,1,2,5
Apelles,0,1,1
Aphantopus,1,2,8
Apharetra,0.5,2,3
Apharitis,0,1,1
Aphelia,0.7777777777777778,50,91
Aphendala,0.3333333333333333,9,9
Aphilopota,1,2,3
Aphnaeus,0.4,10,11
Aphomia,0.5,4,4
Aphrissa,1,4,5
Aphthonetus,0,3,3
Aphysoneura,0,1,1
Apina,1,8,11
Aplasta,0,1,1
Aplectoides,1,3,5
Aplocera,0.6666666666666666,3,6
Aplochlora,1,2,2
Aplotelia,0,1,1
Apocalymnia,0,1,1
Apocheima,1,10,13
Apochima,1,10,15
Apoda,0.6,8,10
Apodemia,0.6666666666666666,9,30
Apodia,1,1,4
Apodrepanulatrix,0,1,1
Apolychrosis,0.8571428571428571,7,18
Apomyelois,1,5,6
Aponoea,0,2,2
Apopestes,0.5,2,3
Apopetelia,0,2,2
Apophthisis,0,1,1
Aporandria,1,9,12
Aporia,0.4,14,29
Aporophyla,1,11,12
Apospasta,1,5,6
Apotistatus,0,1,1
Apotoforma,0.5,2,4
Apotolype,0,1,1
Apotomis,0.48,32,45
Apotomops,1,1,4
Apotomops Wellingtoniana,0,4,1
Appana,0,1,1
Appias,0.7333333333333333,27,69
Aproaerema,1,3,19
Apsaphida,0,1,1
Apterona,1,24,52
Aquita,1,1,2
Aracima,0,1,1
Araeopteron,0,1,1
Araragi,1,2,6
Araschnia,0.3333333333333333,3,6
Arawacus,0,7,7
Arcas,0.5,3,3
Arcesis,1,2,2
Archaeoattacus,1,6,8
Archaeoses,0,1,1
Archanara,0.5,16,23
Archepandemis,0.3333333333333333,3,4
Archephia,0,1,1
Archernis,0.5,2,3
Archiearis,1,4,6
Archigalleria,0,1,1
Archilobesia,0,1,1
Archinemapogon,1,1,2
Archips,0.7971014492753623,404,684
Archirhoe,0,1,1
Archonias,1,2,2
Archyala,0,2,1
Arcte,1,3,6
Arctonotus,1,1,2
Arcyophora,0,2,2
Arcyophora Dentula,0,1,1
Arcyophora Longivalvis,0,2,1
Ardozyga,0,10,10
Arenipses,0,1,1
Areniscythris,1,4,5
Arenostola,0,1,1
Arethusana,1,1,8
Areticulata,0,1,1
Argema,0.8,28,42
Argolamprotes,1,3,3
Argon,0,1,1
Argynnis,1,7,20
Argyractis,0,1,1
Argyresthia,0.35714285714285715,80,122
Argyreus,1,2,16
Argyria,0,1,1
Argyrocosma,0,1,1
Argyrocupha,1,4,4
Argyrogramma,1,21,32
Argyrolacia,0,1,1
Argyrolepidia,1,1,4
Argyronome,0.5,2,5
Argyrophenga,0.3333333333333333,3,7
Argyrophorus,0,1,1
Argyroploce,0.15384615384615385,15,18
Argyrostrotis,0.3333333333333333,4,6
Argyrotaenia,0.7586206896551724,127,241
Arhopala,0.358974358974359,74,102
Ariadne,0.7142857142857143,9,21
Ariathisa,1,6,9
Arichanna,0,1,1
Aricia,0.3333333333333333,8,11
Aricua,0,2,1
Arimania,0,1,1
Arippara,0,2,2
Aristaea,1,2,6
Aristotelia,0.35,51,61
Arla,1,1,2
Armada,0,1,1
Arniocera,0,1,1
Aroga,0.25,17,19
Arogalea,0,1,1
Aroma,0,1,1
Arotrophora,0,4,4
Arrhenes,0,2,2
Arsacia,1,1,2
Arsenura,0.5714285714285714,15,26
Artace,0.25,9,13
Artaversala,0,1,1
Artena,1,3,11
Artenacia,0,1,1
Arteurotia,1,1,2
Arthisma,0,1,1
Arthroschista,1,2,2
Artifodina,0,3,3
Artipe,1,2,4
Artitropa,0.6666666666666666,3,9
Artogeia,1,2,10
Artona,0.5,8,14
Artopoetes,1,2,3
Arugisa,1,2,2
Asbolis,1,1,7
Ascalapha,1,5,11
Ascalenia,0.15,22,27
Ascalenia?,0,1,1
Ascia,1,8,33
Asciodes,1,3,5
Ascotis,0.75,60,104
Aseptis,0.6,22,31
Asinduma,0,1,1
Aslauga,0.6666666666666666,9,19
Asota,0.3076923076923077,27,50
Asphadastis,1,2,2
Aspilapteryx,0,2,2
Aspilates,1,3,4
Aspitates,0,1,1
Aspitha,0,1,1
Assara,0.5714285714285714,17,27
Astala,0.5,5,7
Asterivora,0.5,2,4
Asterocampa,0.5,10,16
Asterolepis,0,2,2
Asteropetes,0,1,1
Asthena,1,2,2
Astictopterus,0.6666666666666666,5,5
Astraptes,0.625,15,24
Astronauta,0,2,2
Astygisa,0,2,2
Astyloneura,0,2,2
Asymmetrura,1,4,17
Asymphorodes,1,3,3
Asymplecta,0,2,2
Atacira,0.16666666666666666,7,7
Atalopedes,0.5,2,8
Ategumia,0,4,4
Atemelia,1,2,2
Atemnora,0.5,4,4
Aterica,1,4,7
Aterpia,0.5,3,3
Atethmia,0.5,3,3
Atheloca,1,2,7
Athetis,0.42105263157894735,36,38
Athletes,0.6666666666666666,5,10
Athrips,0.4,10,14
Athroolopha,0,1,1
Athyma,0.8,14,48
Athyrma,0,1,1
Athysanota,0,1,1
Atlides,0.25,5,10
Atomopteryx,0,1,1
Atremaea,0,1,1
Atrytone,1,2,7
Atrytonopsis,0.5,2,3
Attacus,0.8,76,141
Attatha,1,2,6
Atteva,0.42857142857142855,13,25
Attonda,1,1,2
Atypha,0,1,1
Auaxa,0,1,1
Aucha,0,4,4
Auchmis,0.3333333333333333,4,4
Auchmophila,0,1,1
Aucula,0,2,2
Audea,0,2,2
Audre,0,2,2
Audre Campestris,0,1,1
Audre Hippodice,0,1,1
Augasma,0,1,1
Augiades,0,1,1
Aurana,0,1,1
Aurivillius,1,6,11
Austrapoda,1,1,2
Austriana,1,1,2
Austroypthima,0,1,1
Autoba,0.625,70,123
Autoba?,0,1,1
Autocharis,1,2,2
Autochton,0.6666666666666666,4,9
Autographa,0.8095238095238095,120,204
Automerella,1,2,4
Automerina,0,2,2
Automeris,0.6923076923076923,253,432
Autophila,1,1,2
Autoplusia,0.6666666666666666,8,13
Avatha,1,3,7
Avitta,0.6666666666666666,3,5
Axinoptera,0,1,1
Axiocerses,0.625,18,18
Axylia,0.5,4,8
Azamora,0,2,2
Azanus,1,16,20
Azeta,0,2,2
Azochis,0.3333333333333333,3,4
Azuritis,1,1,5
Azygophleps,0.25,4,7
Bactra,0.6,24,33
Badamia,1,4,13
Badebecia,1,2,2
Bagisara,0.5,9,14
Baileya,0.6666666666666666,7,13
Balaenifrons,0,2,2
Balantiucha,0,1,1
Balataea,0.5,3,4
Balbis,0,1,1
Baliochila,0.18181818181818182,15,13
Balsa,1,5,9
Bambalina,1,1,3
Bambusiphila,0,1,1
Bamra,0.5,3,3
Baniana,1,1,2
Banisia,0.75,7,16
Baoris,0.4,5,10
Baphala,1,2,5
Baptria,1,1,2
Baracus,0,1,1
Barasa,1,3,8
Barbara,0.6,5,17
Barbicornis,0,1,1
Bareia,0,1,1
Bareia Incidens,0,1,1
Baria,1,6,7
Barnardiella,1,1,2
Baronia,0,1,1
Basicladus,1,9,5
Basilarchia,1,22,89
Basilodes,0,2,2
Basiothea,0.3333333333333333,5,10
Basiothia,0.5,7,12
Bassania,1,1,2
Bathyphlebia,0,1,1
Bathypluta,1,2,2
Bathytricha,0.5,5,9
Batocnema,1,1,2
Batrachedra,0.46153846153846156,35,50
Batrachedra?,0,1,1
Batrachedrodes,0.2,7,6
Battaristis,1,1,3
Beana,1,2,2
Beara,1,7,9
Beara Dichromella,0,8,5
Beara Nubiferella,0,2,2
Bebearia,0.5,9,14
Bedellia,0.3333333333333333,18,25
Behrensia,1,1,2
Beijinga,0,1,1
Belciades,0,1,1
Belciana,1,2,2
Belemnia,0,1,1
Belemnia Ochriplaga,0,1,1
Belenois,0.7333333333333333,19,49
Belippa,1,1,3
Bellura,0.75,10,13
Bema,0,1,1
Bena,0.5,4,4
Bendisodes,0,1,1
Benjaminiola,1,1,2
Beralade,0,6,6
Berberia,0,1,1
Berta,0.42857142857142855,9,11
Bertula,0,3,3
Besciva,1,1,2
Besma,1,8,15
Betulodes,0,1,1
Bhagadatta,0,1,1
Bibasis,0.75,16,22
Bibasis Fergusonii,0,1,1
Bibasis Gomata,0,8,3
Bibasis Harisa,0,3,2
Bibasis Jaina,0,3,3
Bibasis Mahintha,0,2,2
Bibasis Oedipodea,0,2,2
Bibasis Sena,0,2,2
Bibasis Tuckeri,0,1,1
Biblis,1,2,4
Bicyclus,0.3,10,13
Bilobata,1,2,5
Bindahara,1,2,3
Biopsyche,0.5,4,4
Birthama,0.25,5,5
Birthamoides,0,2,2
Birthamula,1,5,5
Birthana,0,1,1
Birthosea,1,8,9
Biselachista,0.3333333333333333,10,14
Biston,0.875,89,163
Bizia,0,1,1
Blastesthia,1,2,7
Blasticorhinus,0,2,2
Blenina,0,6,6
Blepharita,0.5,17,19
Bleptina,0,2,2
Bleszynskia,0.5,2,5
Boarmia,0.3333333333333333,5,5
Bocana,1,3,2
Bocana Manifestalis,0,3,3
Bocchoris,0,2,2
Bocchoropsis,0,1,1
Bocula,0.3333333333333333,3,4
Boeotarcha,0,3,3
Bohemannia,0.6666666666666666,3,5
Bolla,0,1,1
Boloria,0.5555555555555556,17,22
Bombycomorpha,0.6666666666666666,5,6
Bombycopsis,1,27,43
Bombyx,0.5,3,4
Bonagota,1,21,24
Bonchis,1,1,4
Borbo,0.7,11,43
Borboryctis,1,1,2
Borocera,1,4,6
Botyodes,0.3333333333333333,9,10
Bourgognea,0,2,2
Brachiolia,0,1,1
Brachionycha,0.75,14,17
Brachmia,0.2222222222222222,10,12
Brachmia?,0,1,1
Brachyacma,1,1,5
Brachycyttarus,1,13,14
Brachylomia,0.6,9,13
Bradina,0.5,3,3
Bradleyella,0,1,1
Bradyrrhoa,0.5,2,4
Brahmaea,1,1,2
Brangas,0,2,2
Brassolis,1,7,31
Bremeria,0.3333333333333333,3,4
Brenthia,0.3333333333333333,15,21
Brenthis,1,6,18
Brephidium,1,8,34
Brephos,1,1,3
Brihaspa,0,1,1
Brintesia,1,1,8
Brithys,0.6666666666666666,13,27
Brithysana,0.5,11,13
Bryophilina,0,1,1
Bryophilopsis,0.5,2,3
Bryotropha,0.2222222222222222,11,11
Bubaloceros,0,1,1
Bubonoxena,1,2,2
Bucculatrix,0.25170068027210885,167,224
Buckleria,0.5,3,4
Bucolarcha,1,1,2
Bulia,0,2,2
Bunaeopsis,0.5,18,22
Bungalotis,0.5,4,7
Bupalus,1,1,10
Burca,0,1,1
Busseola,0.6,7,19
Buszkoiana,0,1,1
Byblia,1,5,11
Cabares,0,1,1
Cabera,0.75,15,31
Cabera Borealis,0,5,2
Cabera Erythemaria,0,2,1
Cabera Exanthemata,0,9,3
Cabera Purus,0,4,1
Cabera Pusaria,0,9,4
Cabera Variolaria,0,6,2
Cabotia,0,1,1
Cabralia,0,1,1
Cacocharis,0,1,1
Cacoecimorpha,1,26,36
Cacotherapia,0,1,1
Cactoblastis,0.75,5,22
Cactobrosis,0.5,2,7
Cacyreus,1,8,31
Cadarena,0,1,1
Cadra,0.75,56,89
Caenides,0,2,2
Caenurgia,0.5,3,3
Caenurgina,1,10,15
Caenurgina Caerulea,0,2,1
Caenurgina Crassiuscula,0,7,4
Caenurgina Erechtea,0,9,5
Cahela,1,1,2
Caio,1,3,5
Calamia,1,2,6
Calamochrous,0,1,1
Calamograptis,0,1,1
Calamotropha,0.375,11,12
Calcarifera,1,2,4
Calephelis,0.2727272727272727,12,16
Calesia,0.5,6,12
Caleta,0.2,5,7
Calguia,0.3333333333333333,6,6
Calicha,0,1,1
Calidota,0,1,1
Caligatus,1,1,2
Caligo,0.5833333333333334,22,30
Caligula,1,38,60
Calinaga,1,1,2
Calindoea,0.6666666666666666,4,5
Calisto,0.4,5,7
Callabraxas,0,1,1
Calledapteryx,1,1,2
Callerebia,0,1,1
Calletaera,0,1,1
Callhyccoda,0,1,1
Callicercops,0,1,1
Callidrepana,0,3,3
Calliergis,0,1,1
Callimormus,0,1,1
Callionima,0,1,1
Calliprora,0,1,1
Callistege,1,8,11
Callisto,1,6,15
Callithea,0,2,2
Callithomia,0,1,1
Callithrinca,0,1,1
Callixena,1,2,5
Callizona,1,2,3
Callizyga,0,1,1
Callizygaena,0,1,1
Callizzia,0,1,1
Callophrys,0.47368421052631576,50,67
Callopistria,0.3684210526315789,45,54
Callosamia,1,29,49
Callosymploca,0,1,1
Calluga,1,2,2
Callyna,0.5714285714285714,8,11
Calophasia,0.3333333333333333,4,5
Calopieris,0,1,1
Caloptilia,0.46629213483146065,217,381
Caloreas,0.5,8,11
Calothysanis,0.5,2,4
Calpodes,1,9,13
Caltoris,0.8333333333333334,7,14
Calybites,0.4,8,15
Calyciphora,0.5,3,3
Calycopis,0.3333333333333333,10,14
Calymma,1,1,3
Calyptra,0.5,12,16
Cameraria,0.6,75,160
Campaea,0.5,16,25
Camptogramma,1,6,6
Camptopleura,0.5,2,3
Camptozada,1,1,3
Campylotes,1,1,2
Canariana,1,1,4
Canarsia,1,2,3
Cancellalata,0,1,1
Candalides,0.07142857142857142,30,16
Canephora,1,8,9
Cangetta,1,1,2
