pair_id,dataset,taxa_left,taxa_right,dN_left,dN_right,dS_left,dS_right,level_left,level_right,n_species_left,n_species_right,n_host_record_left,n_host_record_right,prop_generalist_left,prop_generalist_right,n_host_families_left,n_host_families_right,n_host_species_left,n_host_species_right,taxa_size_left,taxa_size_right,label,sign,weight,dN_contrast,dS_contrast,n_host_species_contrast,n_species_contrast,n_host_families_contrast,prop_generalist_contrast
52,genera,Delias,Leuciacria,-5.435742042459709,-5.087084466259662,-1.6875562229481935,-1.8174712009439573,genus,genus,6.0844994130751715,0,11,0,1.0068536854342678,NA,3.7376696182833684,NA,4.276666119016055,NA,439,1,Delias - Leuciacria,1,0,-0.348657576200047,0.1299149779957638,NA,6.0844994130751715,NA,NA
54,genera,Anteros,Helicopis,-4.396531320876764,-4.784536114956413,-1.3237891557684935,-1.0972941577844506,genus,genus,3.2188758248682006,3.6375861597263857,0,0,NA,NA,NA,NA,NA,NA,25,38,Anteros - Helicopis,-1,0,-0.3880047940796496,0.22649499798404293,NA,0.4187103348581851,NA,NA
55,genera,Riodina,Notheme,-6.009628517735653,-5.550632295162527,-1.9916065039918294,-1.7612089259145902,genus,genus,2.302585092994046,1.3862943611198906,0,0,NA,NA,NA,NA,NA,NA,10,4,Riodina - Notheme,1,0,-0.4589962225731261,-0.23039757807723915,NA,0.9162907318741553,NA,NA
56,genera,Panara,Chorinea,-5.987871011597852,-6.555690947601088,-2.2438540275302836,-2.3217882999784814,genus,genus,2.4849066497880004,2.3978952727983707,0,0,NA,NA,NA,NA,NA,NA,12,11,Panara - Chorinea,1,0,0.5678199360032359,0.07793427244819773,NA,0.08701137698962969,NA,NA
58,genera,Euphaedra,Bebearia,-5.23309158163033,-5.509038397863689,-2.1880428586213805,-2.0689131601083988,genus,genus,5.225746673713202,4.204692619390966,17,5,0.6651960550128186,0.7853981633974484,3.1780538303479458,2.1972245773362196,3.784189633918261,2.6390573296152584,186,67,Euphaedra - Bebearia,1,4.138817993300367,0.27594681623335937,-0.11912969851298172,1.1451323043030026,1.021054054322236,0.9808292530117262,-0.12020210838462975
59,genera,Aterica,Euriphene,-5.440803014844792,-6.290949331678914,-1.981226494182881,-2.5387758906576887,genus,genus,2.302585092994046,4.61512051684126,1,0,1.5707963267948966,0.7853981633974484,1.3862943611198906,1.0986122886681098,1.9459101490553132,1.0986122886681098,10,101,Aterica - Euriphene,-1,0,-0.8501463168341221,-0.5575493964748077,-0.8472978603872034,2.3125354238472138,-0.2876820724517808,-0.7853981633974482
60,genera,Eueides,Heliconius,-5.871373066850162,-5.740239011666816,-1.8539902552358847,-2.0054255737583735,genus,genus,4.02535169073515,6.184148890937483,8,33,1.0799136485055854,0.9851107833377457,2.3978952727983707,3.58351893845611,4.060443010546419,5.420534999272286,56,485,Eueides - Heliconius,-1,7.278527160043748,0.1311340551833462,-0.15143531852248882,1.3600919887258671,2.1587972002023337,1.1856236656577392,-0.094802865167839645
62,genera,Hestina,Euripus,-6.0194525836481505,-5.919329949348783,-2.637708240045963,-1.9272768325876346,genus,genus,3.1354942159291497,3.1354942159291497,2,2,0.9553166181245093,1.5707963267948966,1.0986122886681098,1.0986122886681098,2.0794415416798357,1.3862943611198906,23,23,Hestina - Euripus,1,1.0476190476190477,-0.10012263429936752,-0.7104314074583284,0.6931471805599452,0,0,-0.6154797086703873
64,genera,Biblis,Vila,-5.839945899469073,-6.767124149242392,-2.98703024626009,-2.6716507717222044,genus,genus,1.3862943611198906,2.302585092994046,0,0,1.5707963267948966,NA,0.6931471805599453,NA,1.3862943611198906,NA,4,10,Biblis - Vila,-1,0,-0.927178249773319,0.3153794745378855,NA,0.9162907318741553,NA,NA
65,genera,Mestra,Archimestra,-5.351718143275152,-5.289555860879464,-1.668482221103393,-1.9790316602141322,genus,genus,2.6390573296152584,0,3,0,0.5235987755982989,NA,1.3862943611198906,NA,1.791759469228055,NA,14,1,Mestra - Archimestra,1,0,-0.062162282395687996,0.3105494391107393,NA,2.6390573296152584,NA,NA
