Genus,Name_data
CAMPTOPLEURA,* cincta Mabille & Boullet 1917 - Junior subjective synonym
,
CAMPTOPLEURA,* indecora Hayward 1937 - Junior subjective synonym
,
CAMPTOPLEURA,impressus Mabille 1887 - Valid Name
,
CAMPTOPLEURA,janthinus Capronnier 1874 - Valid Name
,
CAMPTOPLEURA,* ebenus Mabille 1883 - Junior subjective synonym
,
CAMPTOPLEURA,oaxaca Freeman 1968 - Valid Name
,
CAMPTOPLEURA,termon Hopffer 1874 - Valid Name
,
CAMPTOPLEURA,* iphicrates Mabille 1878 - Junior subjective synonym
,
CAMPTOPLEURA,* strigulosa Mabille 1903 - Junior subjective synonym
,
CAMPTOPLEURA,theramenes Mabille 1877 - Valid Name
,
CYCLOGLYPHA,CYCLOGLYPHA Mabille 1903 - Valid Name
,
CYCLOGLYPHA,caeruleonigra Mabille 1904 - Valid Name
,
CYCLOGLYPHA,* blanchardi Hayward 1939 - Junior subjective synonym
,
CYCLOGLYPHA,enega Möschler 1876 - Valid Name
,
CYCLOGLYPHA,* cataphanes Mabille 1904 - Junior subjective synonym
,
CYCLOGLYPHA,polax Evans 1953 - Valid Name
,
CYCLOGLYPHA,stellita Zikán 1938 - Valid Name
,
CYCLOGLYPHA,thrasibulus Fabricius 1793 - Valid Name
,
CYCLOGLYPHA,flinta Evans 1953 - Valid Name
,
CYCLOGLYPHA,* florita Zikán 1938 - Junior subjective synonym
,
CYCLOGLYPHA,* lepidozonos Bryk 1953 - Junior subjective synonym
,
CYCLOGLYPHA,* lucida Mabille & Boullet 1917 - Junior subjective synonym
,
CYCLOGLYPHA,tisias Godman & Salvin 1896 - Valid Name
,
EBRIETAS,EBRIETAS Godman & Salvin 1896 - Valid Name
,
EBRIETAS,anacreon Staudinger 1876 - Valid Name
,
EBRIETAS,* albunea Staudinger 1876 - Junior subjective synonym
,
EBRIETAS,* claudianus Staudinger 1875 - Junior subjective synonym
,
EBRIETAS,* ecliptica Butler 1877 - Junior subjective synonym
,
EBRIETAS,* halidus Mabille 1891 - Junior subjective synonym
,
EBRIETAS,leucophaea Mabille & Boullet 1917 - Valid Name
,
EBRIETAS,* tortricinus Plötz 1884 - Junior subjective synonym
,
EBRIETAS,triseriata Plötz 1884 - Valid Name
,
EBRIETAS,* undulata Plötz 1884 - Junior subjective synonym
,
EBRIETAS,badia Plötz 1884 - Valid Name
,
EBRIETAS,elaudia Plötz 1884 - Valid Name
,
EBRIETAS,* claudia Draudt 1923 - Junior subjective synonym
,
EBRIETAS,livius Mabille 1897 - Valid Name
,
EBRIETAS,* minor Mabille & Boullet 1917 - Junior subjective synonym
,
EBRIETAS,evanidus Mabille 1897 - Valid Name
,
EBRIETAS,* morio Mabille & Boullet 1917 - Junior subjective synonym
,
EBRIETAS,infanda Butler 1876 - Valid Name
,
EBRIETAS,* isus Evans 1953 - Junior subjective synonym
,
EBRIETAS,* perfidus Mabille 1883 - Junior subjective synonym
,
EBRIETAS,osyris Staudinger 1876 - Valid Name
,
EBRIETAS,sappho Steinhauser 1974 - Valid Name
,
ACHLYODES,ACHLYODES Hübner 1819 - Valid Name
,
ACHLYODES,* EANTIS Boisduval 1836 - Junior subjective synonym
,
ACHLYODES,* SEBALDIA Mabille 1903 - Junior objective synonym
,
ACHLYODES,busirus Stoll 1782 - Valid Name
,
ACHLYODES,* bucolus Mabille 1903 - Junior subjective synonym
,
ACHLYODES,heros Ehrmann 1909 - Valid Name
,
ACHLYODES,negro Kaye 1921 - Valid Name
,
ACHLYODES,* obscura Mabille 1903 - Junior subjective synonym
,
ACHLYODES,rioja Evans 1953 - Valid Name
,
ACHLYODES,* sebaldus Fabricius 1787 - Junior subjective synonym
,
ACHLYODES,* minna Evans 1953 - Manuscript name
,
ACHLYODES,munroei Bell 1956 - Valid Name
,
ACHLYODES,pallida Felder 1869 - Valid Name
,
ACHLYODES,* ozotes Butler 1870 - Junior subjective synonym
,
ACHLYODES,* selva Evans 1953 - Manuscript name
,
ACHLYODES,thraso Hübner 1807 - Valid Name
,
ACHLYODES,minor Comstock 1944 - Valid Name
,
ACHLYODES,mithridates Fabricius 1793 - Valid Name
,
ACHLYODES,* janus Bell & Comstock 1948 - Junior subjective synonym
,
ACHLYODES,papinianus Poey 1832 - Valid Name
,
ACHLYODES,* peruvianus Mabille & Boullet 1917 - Junior subjective synonym
,
ACHLYODES,sagra Evans 1953 - Valid Name
,
ACHLYODES,* tamenund Edwards 1870 - Junior subjective synonym
,
ACHLYODES,ulpianus Poey 1832 - Valid Name
,
ACHLYODES,* austera Prittwitz 1868 - Junior subjective synonym
,
ACHLYODES,* labeo Poey 1832 - Junior subjective synonym
,
ACHLYODES,* rossine Butler 1870 - Junior subjective synonym
,
AETHILLA,AETHILLA Hewitson 1868 - Valid Name
,
AETHILLA,* EURYPTERUS Mabille 1877 - Junior homonym
,
AETHILLA,chiapa Freeman 1969 - Valid Name
,
AETHILLA,echina Hewitson 1870 - Valid Name
,
AETHILLA,coracina Butler 1870 - Valid Name
,
AETHILLA,* primus Plötz 1882 - Junior subjective synonym
,
AETHILLA,* haber Mabille 1891 - Junior subjective synonym
,
AETHILLA,* subviolacea Mabille 1904 - Junior subjective synonym
,
AETHILLA,eleusinia Hewitson 1868 - Valid Name
,
AETHILLA,epicra Hewitson 1870 - Valid Name
,
AETHILLA,* oeclydes Plötz 1884 - Junior subjective synonym
,
AETHILLA,gigas Mabille 1877 - Valid Name
,
AETHILLA,* maxima Hayward 1941 - Junior subjective synonym
,
AETHILLA,later Mabille 1891 - Valid Name
,
AETHILLA,lavochrea Butler 1874 - Valid Name
,
AETHILLA,* athymnios Möschler 1878 - Junior subjective synonym
,
AETHILLA,melas Plötz 1882 - Valid Name
,
AETHILLA,memmius Butler 1876 - Valid Name
,
AETHILLA,* hahneli Staudinger 1888 - Junior subjective synonym
,
AETHILLA,* rufonigra Mabille & Boullet 1919 - Junior subjective synonym
,
PYTHONIDES,PYTHONIDES Hübner 1819 - Valid Name
,
PYTHONIDES,* ATE Godman & Salvin 1895 - Junior objective synonym
,
PYTHONIDES,braga Evans 1953 - Valid Name
,
PYTHONIDES,eminus Bell 1934 - Valid Name
,
PYTHONIDES,pasha Evans 1953 - Valid Name
,
PYTHONIDES,grandis Mabille 1878 - Valid Name
,
PYTHONIDES,assecla Mabille 1883 - Valid Name
,
PYTHONIDES,hampa Evans 1953 - Valid Name
,
PYTHONIDES,herennius Geyer 1838 - Valid Name
,
PYTHONIDES,* lagia Hewitson 1868 - Junior subjective synonym
,
PYTHONIDES,lusovius Mabille 1891 - Valid Name
,
PYTHONIDES,* cordus Mabille 1897 - Junior subjective synonym
,
PYTHONIDES,proxenus Godman & Salvin 1895 - Valid Name
,
PYTHONIDES,* canace Schaus 1918 - Junior subjective synonym
,
PYTHONIDES,homer Evans 1953 - Valid Name
,
PYTHONIDES,jovianus Stoll 1782 - Valid Name
,
PYTHONIDES,amaryllis Staudinger 1876 - Valid Name
,
