Superfamily,Family,Subfamily,Tribe,Genus
Bombycoidea,Endromidae,NA,NA,OBERTHUERIA
,,,,
Bombycoidea,Endromidae,NA,NA,PRISMOSTICTA
,,,,
Bombycoidea,Endromidae,NA,NA,PRISMOSTICTOIDES
,,,,
Bombycoidea,Endromidae,NA,NA,PROMUSTILIA
,,,,
Bombycoidea,Endromidae,NA,NA,PSEUDANDRACA
,,,,
Bombycoidea,Endromidae,NA,NA,SESQUILUNA
,,,,
Bombycoidea,Endromidae,NA,NA,SMERKATA
,,,,
Bombycoidea,Endromidae,NA,NA,THEOPHOBA
,,,,
Bombycoidea,Eupterotidae,Eupterotinae,NA,COTANA
,,,,
Bombycoidea,Eupterotidae,Eupterotinae,NA,DREATA
,,,,
Bombycoidea,Eupterotidae,Eupterotinae,NA,EUPTEROTE
,,,,
Bombycoidea,Eupterotidae,Eupterotinae,NA,LASIOMORPHA
,,,,
Bombycoidea,Eupterotidae,Eupterotinae,NA,MELANERGON
,,,,
Bombycoidea,Eupterotidae,Eupterotinae,NA,NISAGA
,,,,
Bombycoidea,Eupterotidae,Eupterotinae,NA,PALIRISA
,,,,
Bombycoidea,Eupterotidae,Eupterotinae,NA,PARACYDAS
,,,,
Bombycoidea,Eupterotidae,Eupterotinae,NA,PHIALA
,,,,
Bombycoidea,Eupterotidae,Eupterotinae,NA,RARISQUAMOSA
,,,,
Bombycoidea,Eupterotidae,Eupterotinae,NA,SANGATISSA
,,,,
Bombycoidea,Eupterotidae,Eupterotinae,NA,SARMALIA
,,,,
Bombycoidea,Eupterotidae,Ganisa,NA,APHA
,,,,
Bombycoidea,Eupterotidae,Ganisa,NA,APONA
,,,,
Bombycoidea,Eupterotidae,Ganisa,NA,GANISA
,,,,
Bombycoidea,Eupterotidae,Ganisa,NA,HEMIJANA_AUCTORUM
,,,,
Bombycoidea,Eupterotidae,Ganisa,NA,MELANOTHRIX
,,,,
Bombycoidea,Eupterotidae,Ganisa,NA,NEOPREPTOS
,,,,
Bombycoidea,Eupterotidae,Ganisa,NA,PANDALA
,,,,
Bombycoidea,Eupterotidae,Ganisa,NA,POLOMA
,,,,
Bombycoidea,Eupterotidae,Ganisa,NA,PREPTOS
,,,,
Bombycoidea,Eupterotidae,Ganisa,NA,PSEUDOGANISA
,,,,
Bombycoidea,Eupterotidae,Ganisa,NA,PSEUDOJANA
,,,,
Bombycoidea,Eupterotidae,Hibrildinae,NA,HIBRILDES
,,,,
Bombycoidea,Eupterotidae,Janinae,NA,ACROJANA
,,,,
Bombycoidea,Eupterotidae,Janinae,NA,CAMERUNIA
,,,,
Bombycoidea,Eupterotidae,Janinae,NA,CATAJANA
,,,,
Bombycoidea,Eupterotidae,Janinae,NA,DREPANOJANA
,,,,
Bombycoidea,Eupterotidae,Janinae,NA,EPIJANA
,,,,
Bombycoidea,Eupterotidae,Janinae,NA,GONOJANA
,,,,
Bombycoidea,Eupterotidae,Janinae,NA,HEMIJANA
,,,,
Bombycoidea,Eupterotidae,Janinae,NA,HIBRILDES
,,,,
Bombycoidea,Eupterotidae,Janinae,NA,HOPLOJANA
,,,,
Bombycoidea,Eupterotidae,Janinae,NA,JANA
,,,,
Bombycoidea,Eupterotidae,Janinae,NA,PARAJANA
,,,,
Bombycoidea,Eupterotidae,Janinae,NA,PTEROCEROTA
,,,,
Bombycoidea,Eupterotidae,Janinae,NA,STENOGLENE
,,,,
Bombycoidea,Eupterotidae,Janinae,NA,TISSANGA
,,,,
Bombycoidea,Eupterotidae,Janinae,NA,UROJANA
,,,,
Bombycoidea,Eupterotidae,Janinae,NA,VIANGA
,,,,
Bombycoidea,Eupterotidae,Panacelinae,NA,COTANA
,,,,
Bombycoidea,Eupterotidae,Panacelinae,NA,PANACELA
,,,,
Bombycoidea,Eupterotidae,Striphnopteryginae,NA,BANTUANA
,,,,
Bombycoidea,Eupterotidae,Striphnopteryginae,NA,CYRTOJANA
,,,,
Bombycoidea,Eupterotidae,Striphnopteryginae,NA,EBBEPTEROTE
,,,,
Bombycoidea,Eupterotidae,Striphnopteryginae,NA,JANOMIMA
,,,,
Bombycoidea,Eupterotidae,Striphnopteryginae,NA,LICHENOPTERYX
,,,,
Bombycoidea,Eupterotidae,Striphnopteryginae,NA,MARMAROPLEGMA
,,,,
Bombycoidea,Eupterotidae,Striphnopteryginae,NA,PAPUAPTEROTE
,,,,
Bombycoidea,Eupterotidae,Striphnopteryginae,NA,PARAPHYLLALIA
,,,,
Bombycoidea,Eupterotidae,Striphnopteryginae,NA,PHIALA
,,,,
Bombycoidea,Eupterotidae,Striphnopteryginae,NA,PHYLLALIA
,,,,
Bombycoidea,Eupterotidae,Striphnopteryginae,NA,RHABDOSIA
,,,,
Bombycoidea,Eupterotidae,Striphnopteryginae,NA,SCHISTISSA
,,,,
Bombycoidea,Eupterotidae,Striphnopteryginae,NA,STRIPHNOPTERYX
,,,,
Bombycoidea,Eupterotidae,Striphnopteryginae,NA,TERATOJANA
,,,,
Bombycoidea,Eupterotidae,Striphnopteryginae,NA,TRICHOPHIALA
,,,,
Bombycoidea,Eupterotidae,Subfamily unassigned,NA,APHA
,,,,
Bombycoidea,Eupterotidae,Subfamily unassigned,NA,APONA
,,,,
Bombycoidea,Eupterotidae,Subfamily unassigned,NA,GANISA
,,,,
Bombycoidea,Eupterotidae,Subfamily unassigned,NA,LICHENOPTERYX
,,,,
Bombycoidea,Eupterotidae,Subfamily unassigned,NA,PARAMARANE
,,,,
Bombycoidea,Eupterotidae,Subfamily unassigned,NA,PHASICNECUS
,,,,
Bombycoidea,Eupterotidae,Subfamily unassigned,NA,PHYLLALIA
,,,,
Bombycoidea,Eupterotidae,Subfamily unassigned,NA,PREPTOTHAUMA
,,,,
Bombycoidea,Eupterotidae,Subfamily unassigned,NA,SPHINGOGNATHA
,,,,
Bombycoidea,Eupterotidae,Subfamily unassigned,NA,TAGORA
,,,,
Bombycoidea,Eupterotidae,Subfamily unassigned,NA,VIANGA
,,,,
Bombycoidea,Phiditiidae,NA,NA,PHIDITIA
,,,,
Bombycoidea,Phiditiidae,NA,NA,ROLEPA
,,,,
Bombycoidea,Phiditiidae,NA,NA,SOROCABA
,,,,
Bombycoidea,Phiditiidae,NA,NA,TEPILIA
,,,,
Bombycoidea,Saturniidae,Agliinae,NA,AGLIA
,,,,
Bombycoidea,Saturniidae,Arsenurinae,NA,ALMEIDAIA
,,,,
Bombycoidea,Saturniidae,Arsenurinae,NA,ARSENURA
,,,,
Bombycoidea,Saturniidae,Arsenurinae,NA,CAIO
,,,,
Bombycoidea,Saturniidae,Arsenurinae,NA,COPIOPTERYX
,,,,
Bombycoidea,Saturniidae,Arsenurinae,NA,DYSDAEMONIA
,,,,
Bombycoidea,Saturniidae,Arsenurinae,NA,GRAMMOPELTA
,,,,
Bombycoidea,Saturniidae,Arsenurinae,NA,LOXOLOMIA
,,,,
Bombycoidea,Saturniidae,Arsenurinae,NA,PARADAEMONIA
,,,,
Bombycoidea,Saturniidae,Arsenurinae,NA,RHESCYNTIS
,,,,
Bombycoidea,Saturniidae,Arsenurinae,NA,TITAEA
,,,,
Bombycoidea,Saturniidae,Ceratocampinae,NA,ADELOCEPHALA
,,,,
Bombycoidea,Saturniidae,Ceratocampinae,NA,ADELONEIVAIA
,,,,
Bombycoidea,Saturniidae,Ceratocampinae,NA,ADELOWALKERIA
,,,,
Bombycoidea,Saturniidae,Ceratocampinae,NA,ALMEIDELLA
,,,,
Bombycoidea,Saturniidae,Ceratocampinae,NA,ANISOTA
,,,,
Bombycoidea,Saturniidae,Ceratocampinae,NA,BATHYPHLEBIA
,,,,
Bombycoidea,Saturniidae,Ceratocampinae,NA,CERATESA
,,,,
Bombycoidea,Saturniidae,Ceratocampinae,NA,CEROPODA
,,,,
Bombycoidea,Saturniidae,Ceratocampinae,NA,CICIA
,,,,
Bombycoidea,Saturniidae,Ceratocampinae,NA,CITHERONIA
,,,,
Bombycoidea,Saturniidae,Ceratocampinae,NA,CITHERONIOIDES
,,,,
Bombycoidea,Saturniidae,Ceratocampinae,NA,CITHERONULA
,,,,
Bombycoidea,Saturniidae,Ceratocampinae,NA,CITIOICA
,,,,
Bombycoidea,Saturniidae,Ceratocampinae,NA,DACUNJU
,,,,
Bombycoidea,Saturniidae,Ceratocampinae,NA,DRYOCAMPA
,,,,
Bombycoidea,Saturniidae,Ceratocampinae,NA,EACLES
,,,,
Bombycoidea,Saturniidae,Ceratocampinae,NA,GIACOMELLIA
,,,,
Bombycoidea,Saturniidae,Ceratocampinae,NA,JAIBA
,,,,
Bombycoidea,Saturniidae,Ceratocampinae,NA,MEGACERESA
,,,,
Bombycoidea,Saturniidae,Ceratocampinae,NA,MIELKESIA
,,,,
Bombycoidea,Saturniidae,Ceratocampinae,NA,NEORCARNEGIA
,,,,
Bombycoidea,Saturniidae,Ceratocampinae,NA,OITICELLA
,,,,
Bombycoidea,Saturniidae,Ceratocampinae,NA,OTHORENE
,,,,
Bombycoidea,Saturniidae,Ceratocampinae,NA,PROCITHERONIA
,,,,
Bombycoidea,Saturniidae,Ceratocampinae,NA,PSILOPYGIDA
,,,,
Bombycoidea,Saturniidae,Ceratocampinae,NA,PSILOPYGOIDES
,,,,
Bombycoidea,Saturniidae,Ceratocampinae,NA,PTILOSCOLA
,,,,
Bombycoidea,Saturniidae,Ceratocampinae,NA,RACHESA
,,,,
Bombycoidea,Saturniidae,Ceratocampinae,NA,SCHAUSIELLA
,,,,
Bombycoidea,Saturniidae,Ceratocampinae,NA,SCOLESA
,,,,
Bombycoidea,Saturniidae,Ceratocampinae,NA,SPHINGICAMPA
,,,,
Bombycoidea,Saturniidae,Ceratocampinae,NA,SYSSPHINX
,,,,
Bombycoidea,Saturniidae,Cercophaninae,NA,CERCOPHANA
,,,,
Bombycoidea,Saturniidae,Cercophaninae,NA,JANIODES
,,,,
Bombycoidea,Saturniidae,Cercophaninae,NA,MICRODULIA
,,,,
Bombycoidea,Saturniidae,Cercophaninae,NA,NEOCERCOPHANA
,,,,
Bombycoidea,Saturniidae,Hemileucinae,NA,ADETOMERIS
,,,,
Bombycoidea,Saturniidae,Hemileucinae,NA,ANCISTROTA
,,,,
Bombycoidea,Saturniidae,Hemileucinae,NA,ARIAS
,,,,
Bombycoidea,Saturniidae,Hemileucinae,NA,AURORAIA
,,,,
Bombycoidea,Saturniidae,Hemileucinae,NA,AUSTROLIPPA
,,,,
Bombycoidea,Saturniidae,Hemileucinae,NA,AUTOMERELLA
,,,,
Bombycoidea,Saturniidae,Hemileucinae,NA,AUTOMERINA
,,,,
Bombycoidea,Saturniidae,Hemileucinae,NA,AUTOMERIS
,,,,
Bombycoidea,Saturniidae,Hemileucinae,NA,AUTOMEROPSIS
,,,,
Bombycoidea,Saturniidae,Hemileucinae,NA,CALLODIRPHIA
,,,,
Bombycoidea,Saturniidae,Hemileucinae,NA,CATACANTHA
,,,,
Bombycoidea,Saturniidae,Hemileucinae,NA,CATHARISA
,,,,
Bombycoidea,Saturniidae,Hemileucinae,NA,CERODIRPHIA
,,,,
Bombycoidea,Saturniidae,Hemileucinae,NA,CINOMMATA
,,,,
Bombycoidea,Saturniidae,Hemileucinae,NA,COLORADIA
,,,,
Bombycoidea,Saturniidae,Hemileucinae,NA,DIRPHIA
,,,,
Bombycoidea,Saturniidae,Hemileucinae,NA,DIRPHIELLA
,,,,
Bombycoidea,Saturniidae,Hemileucinae,NA,DIRPHIOPSIS
,,,,
Bombycoidea,Saturniidae,Hemileucinae,NA,ERYTHROMERIS
,,,,
Bombycoidea,Saturniidae,Hemileucinae,NA,EUBERGIA
,,,,
Bombycoidea,Saturniidae,Hemileucinae,NA,EUBERGIOIDES
,,,,
Bombycoidea,Saturniidae,Hemileucinae,NA,EUDYARIA
,,,,
Bombycoidea,Saturniidae,Hemileucinae,NA,GAMELIA
,,,,
Bombycoidea,Saturniidae,Hemileucinae,NA,GAMELIOIDES
,,,,
Bombycoidea,Saturniidae,Hemileucinae,NA,HELICONISA
,,,,
Bombycoidea,Saturniidae,Hemileucinae,NA,HEMILEUCA
,,,,
Bombycoidea,Saturniidae,Hemileucinae,NA,HIDRIPA
,,,,
Bombycoidea,Saturniidae,Hemileucinae,NA,HIRPIDA
,,,,
Bombycoidea,Saturniidae,Hemileucinae,NA,HISPANIODIRPHIA
,,,,
Bombycoidea,Saturniidae,Hemileucinae,NA,HYLESIA
,,,,
Bombycoidea,Saturniidae,Hemileucinae,NA,HYLESIOPSIS
,,,,
Bombycoidea,Saturniidae,Hemileucinae,NA,HYPERCHIRIA
,,,,
Bombycoidea,Saturniidae,Hemileucinae,NA,HYPERCHIRIOIDES
,,,,
Bombycoidea,Saturniidae,Hemileucinae,NA,HYPERMERINA
,,,,
Bombycoidea,Saturniidae,Hemileucinae,NA,ITHOMISA
,,,,
Bombycoidea,Saturniidae,Hemileucinae,NA,KENTROLEUCA
,,,,
Bombycoidea,Saturniidae,Hemileucinae,NA,LEUCANELLA
,,,,
Bombycoidea,Saturniidae,Hemileucinae,NA,LONOMIA
,,,,
Bombycoidea,Saturniidae,Hemileucinae,NA,MEROLEUCA
,,,,
Bombycoidea,Saturniidae,Hemileucinae,NA,MOLIPPA
,,,,
Bombycoidea,Saturniidae,Hemileucinae,NA,ORMISCODES
,,,,
Bombycoidea,Saturniidae,Hemileucinae,NA,PARADIRPHIA
,,,,
Bombycoidea,Saturniidae,Hemileucinae,NA,PARANCISTROTA
,,,,
Bombycoidea,Saturniidae,Hemileucinae,NA,PERIGA
,,,,
Bombycoidea,Saturniidae,Hemileucinae,NA,PERIPHOBA
,,,,
Bombycoidea,Saturniidae,Hemileucinae,NA,POLYTHYSANA
,,,,
Bombycoidea,Saturniidae,Hemileucinae,NA,PROHYLESIA
,,,,
Bombycoidea,Saturniidae,Hemileucinae,NA,PSEUDAUTOMERIS
,,,,
Bombycoidea,Saturniidae,Hemileucinae,NA,PSEUDODIRPHIA
,,,,
Bombycoidea,Saturniidae,Hemileucinae,NA,RHODIRPHIA
,,,,
Bombycoidea,Saturniidae,Hemileucinae,NA,TRAVASSOSULA
,,,,
Bombycoidea,Saturniidae,Hemileucinae,NA,XANTHODIRPHIA
,,,,
Bombycoidea,Saturniidae,Oxyteninae,NA,HOMOEOPTERYX
,,,,
Bombycoidea,Saturniidae,Oxyteninae,NA,NEOHOMOEOPTERYX
,,,,
Bombycoidea,Saturniidae,Oxyteninae,NA,OXYTENIS
,,,,
Bombycoidea,Saturniidae,Oxyteninae,NA,THERINIA
,,,,
Bombycoidea,Saturniidae,Salassinae,NA,SALASSA
,,,,
Bombycoidea,Saturniidae,Saturniinae,Micragoniini,ADAFROPTILUM
,,,,
Bombycoidea,Saturniidae,Saturniinae,Micragoniini,CARNEGIA
,,,,
Bombycoidea,Saturniidae,Saturniinae,Micragoniini,CYRTOGONE
,,,,
Bombycoidea,Saturniidae,Saturniinae,Micragoniini,MICRAGONE
,,,,
Bombycoidea,Saturniidae,Saturniinae,Micragoniini,ORTHOGONIOPTILUM
,,,,
Bombycoidea,Saturniidae,Saturniinae,Micragonini,DOGOIA
,,,,
Bombycoidea,Sphingidae,Macroglossinae,Dilophonotini,AELLOPOS
,,,,
Bombycoidea,Sphingidae,Macroglossinae,Dilophonotini,ALEURON
,,,,
Bombycoidea,Sphingidae,Macroglossinae,Dilophonotini,BANIWA
,,,,
Bombycoidea,Sphingidae,Macroglossinae,Dilophonotini,CALLIONIMA
,,,,
Bombycoidea,Sphingidae,Macroglossinae,Dilophonotini,CAUTETHIA
,,,,
Bombycoidea,Sphingidae,Macroglossinae,Dilophonotini,ENYO
,,,,
Bombycoidea,Sphingidae,Macroglossinae,Dilophonotini,ERINNYIS
,,,,
Bombycoidea,Sphingidae,Macroglossinae,Dilophonotini,EUPYRRHOGLOSSUM
,,,,
Bombycoidea,Sphingidae,Macroglossinae,Dilophonotini,HEMARIS
,,,,
Bombycoidea,Sphingidae,Macroglossinae,Dilophonotini,HEMEROPLANES
,,,,
Bombycoidea,Sphingidae,Macroglossinae,Dilophonotini,HIMANTOIDES
,,,,
Bombycoidea,Sphingidae,Macroglossinae,Dilophonotini,ISOGNATHUS
,,,,
Bombycoidea,Sphingidae,Macroglossinae,Dilophonotini,KLONEUS
,,,,
Bombycoidea,Sphingidae,Macroglossinae,Dilophonotini,MADORYX
,,,,
Bombycoidea,Sphingidae,Macroglossinae,Dilophonotini,NYCERYX
,,,,
Bombycoidea,Sphingidae,Macroglossinae,Dilophonotini,ORYBA
,,,,
Bombycoidea,Sphingidae,Macroglossinae,Dilophonotini,PACHYGONIDIA
,,,,
Bombycoidea,Sphingidae,Macroglossinae,Dilophonotini,PACHYLIA
,,,,
Bombycoidea,Sphingidae,Macroglossinae,Dilophonotini,PACHYLIOIDES
,,,,
Bombycoidea,Sphingidae,Macroglossinae,Dilophonotini,PERIGONIA
,,,,
Bombycoidea,Sphingidae,Macroglossinae,Dilophonotini,PHRYXUS
,,,,
Bombycoidea,Sphingidae,Macroglossinae,Dilophonotini,PROTALEURON
,,,,
Bombycoidea,Sphingidae,Macroglossinae,Dilophonotini,PSEUDOSPHINX
,,,,
Bombycoidea,Sphingidae,Macroglossinae,Dilophonotini,STOLIDOPTERA
,,,,
Bombycoidea,Sphingidae,Macroglossinae,Dilophonotini,UNZELA
,,,,
Bombycoidea,Sphingidae,Macroglossinae,Macroglossini,ACOSMERYCOIDES
,,,,
Bombycoidea,Sphingidae,Macroglossinae,Macroglossini,ACOSMERYX
,,,,
Bombycoidea,Sphingidae,Macroglossinae,Macroglossini,ALTIJUBA
,,,,
Bombycoidea,Sphingidae,Macroglossinae,Macroglossini,AMPELOPHAGA
,,,,
Bombycoidea,Sphingidae,Macroglossinae,Macroglossini,AMPHION
,,,,
Bombycoidea,Sphingidae,Macroglossinae,Macroglossini,ANGONYX
,,,,
