dataset,pair_id,taxa,sequence_id,alignment_length,n_loci
genera,28,Outgroup,400_ADW_Ancistroides_nigrita,10548,7
genera,29,Ancistroides,400_ADW_Ancistroides_nigrita,8460,7
genera,29,Notocrypta,ADW591_Notocrypta_curvifasciata,8460,7
genera,29,Outgroup,394_ADW_Idmon_obliquans,8460,7
genera,30,Orses,410_ADW_Orses_cynisca,10656,7
genera,30,Perichares,448_ADW_Perichares_philetes,10656,7
genera,30,Outgroup,AW50_Ochlodes_sylvanoides,10656,7
genera,31,Megathymus,36_ADW_Megathymus_streckeri,11799,7
genera,31,Agathymus,587_ADW_Agathymus_mariae,11799,7
genera,31,Outgroup,AW50_Ochlodes_sylvanoides,11799,7
genera,32,Saliana,514_ADW_Saliana_esperi,9936,7
genera,32,Calpodes,144_ADW_Calpodes_ethlius,9936,7
genera,32,Outgroup,MM03333_Thymelicus_lineola,9936,7
genera,33,Pyrrhopygopsis,64_ADW_Pyrrhopygopsis_crates,8577,7
genera,33,Tromba,UK42_Tromba_tromba,8577,7
genera,33,Outgroup,UK27_Aides_duma,8577,7
genera,34,Aides,UK27_Aides_duma,8802,7
genera,34,Thracides,451_ADW_Thracides_phidon,8802,7
genera,34,Outgroup,UK42_Tromba_tromba,8802,7
genera,35,Hansa,351_ADW_Hansa_devergens,10125,7
genera,35,Lindra,348_ADW_Lindra_brasus,10125,7
genera,35,Outgroup,352_ADW_Libra_aligula,10125,7
genera,36,Stinga,94_ADW_Stinga_morrisoni,11853,7
genera,36,Poanes,21_ADW_Poanes_taxiles,11853,7
genera,36,Outgroup,AW50_Ochlodes_sylvanoides,11853,7
genera,37,Conga,204_ADW_Conga_chydaea,11898,7
genera,37,Nyctelius,160_ADW_Nyctelius_nyctelius,11898,7
genera,37,Outgroup,220_ADW_Atalopedes_campestris,11898,7
genera,38,Hesperia,42_ADW_Hesperia_leonardus,11187,7
genera,38,Pseudocopaeodes,229_ADW_Pseudocopaeodes_eunus,11187,7
genera,38,Outgroup,220_ADW_Atalopedes_campestris,11187,7
genera,39,Corticea,173_ADW_Corticea_corticea,10062,7
genera,39,Anthoptus,63_ADW_Anthoptus_epictetus,10062,7
genera,39,Outgroup,UK26_Molo_mango,10062,7
genera,40,Remella,501_ADW_Remella_rita,10611,7
genera,40,Mnasicles,209_ADW_Mnasicles_hicetaon,10611,7
genera,40,Outgroup,30_ADW_Amblyscirtes_exoteria,10611,7
genera,41,Halotus,ADW642_Halotus_jonaveriorum,9126,7
genera,41,Mucia,ADW345_Mucia_gulala,9126,7
genera,41,Outgroup,635_ADW_Niconiades_xanthaphes,9126,7
genera,42,Saturnus,346_ADW_Saturnus_metonidia,8622,7
genera,42,Parphorus,ADW479_Parphorus_fartuga,8622,7
genera,42,Outgroup,349_ADW_Vidius_catarinae,8622,7
genera,43,Cymaenes,77_ADW_Cymaenes_alumna,12051,7
genera,43,Vidius,349_ADW_Vidius_catarinae,12051,7
genera,43,Outgroup,267_ADW_Mnasilus_allubita,12051,7
genera,44,Mnasilus,267_ADW_Mnasilus_allubita,12420,7
genera,44,Papias,210_ADW_Papias_phainis,12420,7
genera,44,Outgroup,79_ADW_Vehilius_putus,12420,7
genera,45,Lerodea,ADW641_Lerodea_eufala,9567,7
genera,45,Monca,507_ADW_Monca_crispinus,9567,7
genera,45,Outgroup,267_ADW_Mnasilus_allubita,9567,7
genera,46,Ixias,DL_00_Q581_Ixias_pyrene,11889,7
genera,46,Eronia,SC_01_T424_Eronia_cleodora,11889,7
genera,46,Outgroup,SC_01_T434_Colotis_hetaera,11889,7
genera,47,Cunizza,MFB_00_P398_Cunizza_hirlanda,12933,7
genera,47,Hesperocharis,MFB_00_P268_Hesperocharis_crocea,12933,7
genera,47,Outgroup,MFB_00_P437_Eroessa_chiliensis,12933,7
genera,48,Zegris,RV_08_H240_Zegris_eupheme,9648,7
genera,48,Euchloe,AF_94_A022_Euchloe_ausonides,9648,7
