pair_id,dataset,taxa_left,taxa_right,dN_left,dN_right,dS_left,dS_right,baseml_bl_left,baseml_bl_right,level_left,level_right,n_species_left,n_species_right,n_host_record_left,n_host_record_right,prop_generalist_left,prop_generalist_right,n_host_families_left,n_host_families_right,n_host_species_left,n_host_species_right,taxa_size_left,taxa_size_right,label,sign,weight,dN_contrast,dS_contrast,n_host_species_contrast,n_species_contrast,n_host_families_contrast,prop_generalist_contrast,baseml_bl_contrast
1,major-lineage,Syntomiini,Arctiini,NA,NA,NA,NA,NA,NA,tribe,tribe,6.440946540632921,7.792761720816526,11,12,NA,NA,NA,NA,NA,NA,627,2423,Syntomiini - Arctiini,-1,5.800069496026294,NA,NA,NA,1.3518151801836051,NA,NA,NA
2,major-lineage,Liphyrini,Miletini,NA,NA,NA,NA,NA,NA,tribe,tribe,1.791759469228055,4.605170185988092,2,5,0.7853981633974484,0.9553166181245093,0.6931471805599453,1.791759469228055,1.0986122886681098,2.70805020110221,6,100,Liphyrini - Miletini,-1,1.6894197952218428,NA,NA,1.6094379124341003,2.813410716760037,1.0986122886681096,0.1699184547270609,NA
3,major-lineage,Luciini,Theclini,NA,NA,NA,NA,NA,NA,tribe,tribe,4.812184355372417,6.877296071497429,24,41,0.2657291189694254,0.4030570744661133,4.1588830833596715,4.330733340286331,3.4657359027997265,4.2626798770413155,123,970,Luciini - Theclini,-1,17.484076958698434,NA,NA,0.7969439742415889,2.0651117161250117,0.17185025692665956,0.13732795549668786,NA
5,major-lineage,Mesosemiini,Riodinini,NA,NA,NA,NA,NA,NA,tribe,tribe,5.707110264748875,6.184148890937483,1,6,NA,NA,NA,NA,NA,NA,301,485,Mesosemiini - Riodinini,-1,0.8584096955365061,NA,NA,NA,0.47703862618860793,NA,NA,NA
7,major-lineage,Ceratocampinae,Hemileucinae,NA,NA,NA,NA,NA,NA,subfamily,subfamily,5.568344503761097,7.009408932708637,63,145,1.0633892396577194,0.9692912636903632,5.4680601411351315,6.467698726104354,6.2324480165505225,7.002155954403621,262,1107,Ceratocampinae - Hemileucinae,-1,55.2454366058214,NA,NA,0.7697079378530987,1.4410644289475405,0.9996385849692224,-0.09409797596735614,NA
10,major-lineage,Euteliinae,Stictopterinae,NA,NA,NA,NA,NA,NA,subfamily,subfamily,5.676753802268282,5.220355825078324,42,14,NA,NA,NA,NA,NA,NA,292,185,Euteliinae - Stictopterinae,1,11.515841112641654,NA,NA,NA,0.45639797718995734,NA,NA,NA
12,major-lineage,Cossinae,Zeuzerinae,NA,NA,NA,NA,NA,NA,subfamily,subfamily,6.104793232414985,6.0014148779611505,14,19,0.6625441004682162,0.7113573717939493,4.343805421853684,5.181783550292085,4.6913478822291435,5.793013608384144,448,404,Cossinae - Zeuzerinae,1,8.35896615558953,NA,NA,-1.1016657261550007,0.10337835445383448,-0.8379781284384009,-0.0488132713257331,NA
15,major-lineage,Acronictinae,Agaristinae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8906945164154049,0.8638445989076788,6.317164686747284,4.6913478822291435,6.873163834212518,5.049856007249537,NA,NA,Acronictinae - Agaristinae,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,major-lineage,Eariadinae,Bleninae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eariadinae - Bleninae,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,major-lineage,Lymantriinae,Rivulinae,NA,NA,NA,NA,NA,NA,subfamily,subfamily,7.671826797878781,4.343805421853684,3,6,NA,NA,NA,NA,NA,NA,2147,77,Lymantriinae - Rivulinae,1,2.0461428445972225,NA,NA,NA,3.328021376025097,NA,NA,NA
18,major-lineage,Herminiinae,Aganainae,NA,NA,NA,NA,NA,NA,subfamily,subfamily,6.598509028614515,4.276666119016055,26,12,NA,NA,NA,NA,NA,NA,734,72,Herminiinae - Aganainae,1,9.296074417070859,NA,NA,NA,2.32184290959846,NA,NA,NA
19,major-lineage,Cyclidiinae,Drepaninae,NA,NA,NA,NA,NA,NA,subfamily,subfamily,3.044522437723423,6.3835066348840055,1,44,0,0.7570811416262052,0,4.290459441148391,0,4.897839799950911,21,592,Cyclidiinae - Drepaninae,-1,0.9793612533895751,NA,NA,4.897839799950911,3.3389841971605825,4.290459441148391,0.7570811416262052,NA
21,major-lineage,Oenochrominae,Sterrhinae,NA,NA,NA,NA,NA,NA,subfamily,subfamily,6.028278520230698,8.109224953089955,17,117,0.7199944153585948,0.7626630571889498,3.367295829986474,5.529429087511423,3.713572066704308,5.736572297479192,415,3325,Oenochrominae - Sterrhinae,-1,15.432362214665304,NA,NA,2.0230002307748842,2.080946432859257,2.1621332575249492,0.042668641830355014,NA
22,major-lineage,Poritiinae,Miletinae,NA,NA,NA,NA,NA,NA,subfamily,subfamily,6.255750041753367,5.720311776607412,60,31,0.3398369094541219,0.8914548186370628,4.574710978503383,3.9889840465642745,4.394449154672439,4.77912349311153,521,305,Poritiinae - Miletinae,1,22.80483824732046,NA,NA,-0.3846743384390905,0.535438265145955,0.5857269319391083,-0.5516179091829408,NA
23,major-lineage,Nemeobiinae,Euselasiinae,NA,NA,NA,NA,NA,NA,subfamily,subfamily,5.58724865840025,5.375278407684165,7,4,NA,NA,NA,NA,NA,NA,267,216,Nemeobiinae - Euselasiinae,1,2.589691175138758,NA,NA,NA,0.21197025071608433,NA,NA,NA
