508_ADW_Udranomia_kikkawai,Udranomia_kikkawai
454_ADW_Drephalys_kidonoi,Drephalys_kidonoi
UK52_Entheus_sp_,Entheus_sp
65_ADW_Hyalothyrus_mimicus,Hyalothyrus_mimicus
UK29_Phanus_vitreu,Phanus_vitreu
UK75_Salatis_sp_,Salatis_sp
403_ADW_Bungalotis_erythus,Bungalotis_erythus
639_ADW_Nascus_paulliniae,Nascus_paulliniae
441_ADW_Phocides_lilea,Phocides_lilea
UK46_Phareas_coeleste,Phareas_coeleste
407_ADW_Dyscophellus_phraxanor,Dyscophellus_phraxanor
UK32_Euriphellus_euribates,Euriphellus_euribates
ADW445_Cephise_aelius,Cephise_aelius
UK50_Chrysoplectrum_perniciosus,Chrysoplectrum_perniciosus
UK51_Polythrix_sp_,Polythrix_sp
147_ADW_Polygonus_leo,Polygonus_leo
509_ADW_Telemiades_fides,Telemiades_fides
529_ADW_Calliades_zeutus,Calliades_zeutus
140_ADW_Aguna_asander,Aguna_asander
187_ADW_Codatractus_melon,Codatractus_melon
UK28_Ridens_pacasa,Ridens_pacasa
504_ADW_Zestusa_elwesi,Zestusa_elwesi
597_MCZ_Lobocla_liliana,Lobocla_liliana
139_ADW_Proteides_mercurius,Proteides_mercurius
151_ADW_Chioides_catillus,Chioides_catillus
527_ADW_Narcosius_colossus,Narcosius_colossus
141_ADW_Spathilepia_clonius,Spathilepia_clonius
499_ADW_Cabares_potrillo,Cabares_potrillo
142_ADW_Astraptes_fulgerator,Astraptes_fulgerator
67_ADW_Autochton_longipennis,Autochton_longipennis
186_ADW_Achalarus_albociliatus,Achalarus_albociliatus
27_ADW_Thorybes_pylades,Thorybes_pylades
AW280_Urbanus_dorantes,Urbanus_dorantes
629_AVZB_Butleria_bissexguttatus,Butleria_bissexguttatus
UK23_Heteropterus_morpheus,Heteropterus_morpheus
631_ADW_Metisella_metis,Metisella_metis
228_ADW_Carterocephalus_palaemon,Carterocephalus_palaemon
UK40_Dalla_sp_,Dalla_sp
275_ADW_Piruna_aea,Piruna_aea
198_ADW_Dardarina_dardaris,Dardarina_dardaris
AW89_Trapezites_symmomus,Trapezites_symmomus
304_ADW_Signeta_flammeata,Signeta_flammeata
88_ADW_Toxidia_doubledayi,Toxidia_doubledayi
ADW621_Neohesperilla_xanthomera,Neohesperilla_xanthomera
308_ADW_Oreisplanus_perornata,Oreisplanus_perornata
312_ADW_Motasingha_trimaculata,Motasingha_trimaculata
105_ADW_Hesperilla_donnysa,Hesperilla_donnysa
116_ADW_Mesodina_aeluropis,Mesodina_aeluropis
616_MCZ_Antipodia_atralba,Antipodia_atralba
ADW299_Anisynta_dominula,Anisynta_dominula
100_ADW_Dispar_compacta,Dispar_compacta
339_ADW_Sovia_albipectus,Sovia_albipectus
615_MCZ_Ampittia_discorides,Ampittia_discorides
598_MCZ_Halpe_porus,Halpe_porus
167_ADW_Thoressa_varia,Thoressa_varia
92_ADW_Telicota_argeus,Telicota_argeus
121_ADW_Cephrenes_augiades,Cephrenes_augiades
309_ADW_Sabera_caesina,Sabera_caesina
311_ADW_Arrhenes_dschilus,Arrhenes_dschilus
293_ADW_Taroctrocera_papyria,Taroctrocera_papyria
392_ADW_Potanthus_sp_,Potanthus_sp
90_ADW_Ocybadistes_walkeri,Ocybadistes_walkeri
379_ADW_Suniana_sunias,Suniana_sunias
548_ADW_Ceratrichia_clara,Ceratrichia_clara
562_ADW_Meza_meza,Meza_meza
RS_hsp_14_Pardaleodes_sp,Pardaleodes_sp
ADW610_Pyroneura_sp_,Pyroneura_sp
549_ADW_Osmodes_lindseyi,Osmodes_lindseyi
RS_hsp_12_Platylesches_picanini,Platylesches_picanini
RS_hsp_18_Osphantes_ogowena,Osphantes_ogowena
RS_hsp_07_Gorgyra_sp,Gorgyra_sp
RS_hsp_11_Paronymus_nevea,Paronymus_nevea
RS_hsp_13_Fresna_nyassae,Fresna_nyassae
RS_hsp_03_Teniorhinus_ignita,Teniorhinus_ignita
555_ADW_Andronymus_evander,Andronymus_evander
553_ADW_Paracleros_biguttulus,Paracleros_biguttulus
ADW560_Gretna_cylinda,Gretna_cylinda
RS_hsp_05_Hypoleucis_sp,Hypoleucis_sp
550_ADW_Xanthodisca_astrape,Xanthodisca_astrape
566_ADW_Caenides_dacela,Caenides_dacela
632_ADW_Kedestes_barberae,Kedestes_barberae
ADW586_Tsitana_tulbagha,Tsitana_tulbagha
165_ADW_Isoteinon_lamprospilus,Isoteinon_lamprospilus
337_ADW_Astictopterus_jama,Astictopterus_jama
573_ADW_Gamia_shelleyi,Gamia_shelleyi
UK17_Artitropa_comus,Artitropa_comus
RS_hsp_06_Zophopetes_dysmephila,Zophopetes_dysmephila
RS_hsp_30_Chondrolepis_niveicornis,Chondrolepis_niveicornis
RS_hsp_09_Mopala_orme,Mopala_orme
UK4_Leona_lota,Leona_lota
602_MCZ_Hidari_irava,Hidari_irava
ADW535_Pteroteinon_laufella,Pteroteinon_laufella
RS_hsp_02_Semelea_sp,Semelea_sp
RS_hsp_01_Monza_cretacea,Monza_cretacea
336_ADW_Suada_swerga,Suada_swerga
ADW596_Pemara_pugnans,Pemara_pugnans
594_MCZ_Suastus_minutus,Suastus_minutus
331_ADW_Plastingia_naga,Plastingia_naga
338_ADW_Lotongus_calathus,Lotongus_calathus
399_ADW_Unkana_mytheca,Unkana_mytheca
607_MCZ_Zela_excellens,Zela_excellens
VC1_Erionota_thrax,Erionota_thrax
608_MCZ_Gangara_thyrsis,Gangara_thyrsis
394_ADW_Idmon_obliquans,Idmon_obliquans
396_ADW_Iambrix_salsala,Iambrix_salsala
605_MCZ_Hyarotis_adrastus,Hyarotis_adrastus
400_ADW_Ancistroides_nigrita,Ancistroides_nigrita
ADW591_Notocrypta_curvifasciata,Notocrypta_curvifasciata
410_ADW_Orses_cynisca,Orses_cynisca
448_ADW_Perichares_philetes,Perichares_philetes
RS_hsp_24_Zenonia_zeno,Zenonia_zeno
234_ADW_Polytremis_pellucida,Polytremis_pellucida
600_MCZ_Iton_watsonii,Iton_watsonii
RS8_Caltoris_sp,Caltoris_sp
570_ADW_Pelopidas_thrax,Pelopidas_thrax
RS_hsp_17_Gegenes_nigo,Gegenes_nigo
36_ADW_Megathymus_streckeri,Megathymus_streckeri
587_ADW_Agathymus_mariae,Agathymus_mariae
MM03333_Thymelicus_lineola,Thymelicus_lineola
268_ADW_Copaeodes_aurantiaca,Copaeodes_aurantiaca
20_ADW_Oarisma_garita,Oarisma_garita
506_ADW_Panoquina_hecebolus,Panoquina_hecebolus
514_ADW_Saliana_esperi,Saliana_esperi
144_ADW_Calpodes_ethlius,Calpodes_ethlius
512_ADW_Talides_sinois,Talides_sinois
64_ADW_Pyrrhopygopsis_crates,Pyrrhopygopsis_crates
UK42_Tromba_tromba,Tromba_tromba
UK64_Cobalus_calvina,Cobalus_calvina
UK27_Aides_duma,Aides_duma
451_ADW_Thracides_phidon,Thracides_phidon
23_ADW_Euphyes_vestris,Euphyes_vestris
351_ADW_Hansa_devergens,Hansa_devergens
348_ADW_Lindra_brasus,Lindra_brasus
352_ADW_Libra_aligula,Libra_aligula
UK74_Serdis_viridicans,Serdis_viridicans
502_ADW_Thespieus_macareus,Thespieus_macareus
UK87_Atrytonopsis_sp,Atrytonopsis_sp
ADW429_Xeniades_orchamus,Xeniades_orchamus
UK77_Vacerra_hermesia,Vacerra_hermesia
37_ADW_Anatrytone_logan,Anatrytone_logan
468_ADW_Decinea_decinea,Decinea_decinea
ADW199_Quasimellana_eulogius,Quasimellana_eulogius
UK84_Buzyges_rolla,Buzyges_rolla
AW50_Ochlodes_sylvanoides,Ochlodes_sylvanoides
94_ADW_Stinga_morrisoni,Stinga_morrisoni
21_ADW_Poanes_taxiles,Poanes_taxiles
204_ADW_Conga_chydaea,Conga_chydaea
160_ADW_Nyctelius_nyctelius,Nyctelius_nyctelius
220_ADW_Atalopedes_campestris,Atalopedes_campestris
42_ADW_Hesperia_leonardus,Hesperia_leonardus
229_ADW_Pseudocopaeodes_eunus,Pseudocopaeodes_eunus
630_AVZB_Hylephila_phyleus,Hylephila_phyleus
60_ADW_Pompeius_pompeius,Pompeius_pompeius
344_ADW_Appia_appia,Appia_appia
UK59_Wallengrenia_otho,Wallengrenia_otho
14_ADW_Polites_themistocles,Polites_themistocles
UK57_Justinia_sp_,Justinia_sp
634_ADW_Synapte_silius,Synapte_silius
UK26_Molo_mango,Molo_mango
UK55_Racta_sp_,Racta_sp
173_ADW_Corticea_corticea,Corticea_corticea
63_ADW_Anthoptus_epictetus,Anthoptus_epictetus
NW153_20_Pyrrhocalles_antiqua,Pyrrhocalles_antiqua
UK88_Asbolis_capucinus,Asbolis_capucinus
611_MCZ_Ancyloxypha_numitor,Ancyloxypha_numitor
30_ADW_Amblyscirtes_exoteria,Amblyscirtes_exoteria
501_ADW_Remella_rita,Remella_rita
209_ADW_Mnasicles_hicetaon,Mnasicles_hicetaon
80_ADW_Callimormus_radiola,Callimormus_radiola
195_ADW_Lento_xanthina,Lento_xanthina
341_ADW_Virga_austrinus,Virga_austrinus
480_ADW_Vinius_letis,Vinius_letis
UK45_Paracarystus_menestries,Paracarystus_menestries
635_ADW_Niconiades_xanthaphes,Niconiades_xanthaphes
ADW642_Halotus_jonaveriorum,Halotus_jonaveriorum
ADW345_Mucia_gulala,Mucia_gulala
491_ADW_Sodalia_coler,Sodalia_coler
UK38_Phanes_abaris,Phanes_abaris
350_ADW_Lucida_ranesus,Lucida_ranesus
UK37_Pheraeus_odilia,Pheraeus_odilia
343_ADW_Cumbre_belli,Cumbre_belli
346_ADW_Saturnus_metonidia,Saturnus_metonidia
ADW479_Parphorus_fartuga,Parphorus_fartuga
206_ADW_Morys_micythus,Morys_micythus
77_ADW_Cymaenes_alumna,Cymaenes_alumna
349_ADW_Vidius_catarinae,Vidius_catarinae
79_ADW_Vehilius_putus,Vehilius_putus
267_ADW_Mnasilus_allubita,Mnasilus_allubita
210_ADW_Papias_phainis,Papias_phainis
ADW492_Nastra_lurida,Nastra_lurida
477_ADW_Vettius_artona,Vettius_artona
ADW641_Lerodea_eufala,Lerodea_eufala
507_ADW_Monca_crispinus,Monca_crispinus
NW149_5_Leptidea_sinapis,Leptidea_sinapis
MFB_00_P312_Pseudopieris_nehemia,Pseudopieris_nehemia
MFB_00_P403_Moschoneura_pinthous,Moschoneura_pinthous
NW153_23_Dismorphia_spio,Dismorphia_spio
MFB_00_P234_Lieinix_nemesis,Lieinix_nemesis
MFB_00_P405_Enantia_lina,Enantia_lina
MFB_00_P353_Patia_orize,Patia_orize
SC_01_T380_Pseudopontia_paradoxa,Pseudopontia_paradoxa
MFB_00_P215_Kricogonia_lyside,Kricogonia_lyside
DC_98_U711_Nathalis_iole,Nathalis_iole
MFB_00_P211_Pyrisitia_proterpia,Pyrisitia_proterpia
MFB_00_P419_Teriocolias_zelia,Teriocolias_zelia
DW_92_Z084_Eurema_mexicana,Eurema_mexicana
PDV_94_B004_Leucidia_brephos,Leucidia_brephos
MFB_00_R059_Gandaca_harina,Gandaca_harina
NW17718_Gonepteryx_rhamni,Gonepteryx_rhamni
MFB_00_P197_Phoebis_sennae,Phoebis_sennae
MFB_00_P199_Aphrissa_statira,Aphrissa_statira
MFB_00_P475_Dercas_gobrias,Dercas_gobrias
MFB_00_P059_Catopsilia_pomona,Catopsilia_pomona
MFB_00_P188_Anteos_clorinde,Anteos_clorinde
MM03233_Colias_palaeno,Colias_palaeno
MFB_00_P204_Zerene_cesonia,Zerene_cesonia
SC_01_T403_Nepheronia_thalassina,Nepheronia_thalassina
MFB_00_P442_Pareronia_valeria,Pareronia_valeria
GA_93_Z028_Pinacopteryx_eriphia,Pinacopteryx_eriphia
CLT_OB_003_Teracolus_eris,Teracolus_eris
GA_93_Z024_Gideona_lucasi,Gideona_lucasi
SC_01_T434_Colotis_hetaera,Colotis_hetaera
DL_00_Q581_Ixias_pyrene,Ixias_pyrene
SC_01_T424_Eronia_cleodora,Eronia_cleodora
NP_95_Y258_Hebomoia_glaucippe,Hebomoia_glaucippe
MFB_00_P437_Eroessa_chiliensis,Eroessa_chiliensis
MFB_00_P428_Mathania_leucothea,Mathania_leucothea
MFB_00_P398_Cunizza_hirlanda,Cunizza_hirlanda
MFB_00_P268_Hesperocharis_crocea,Hesperocharis_crocea
NW107_2_Elphinstonia_charlonia,Elphinstonia_charlonia
NW151_2_Anthocharis_cardamine,Anthocharis_cardamine
RV_08_H240_Zegris_eupheme,Zegris_eupheme
AF_94_A022_Euchloe_ausonides,Euchloe_ausonides
NP_95_Y248_Leptosia_nina,Leptosia_nina
MFB_00_P133_Elodina_angulipennis,Elodina_angulipennis
MFB_00_P469_Aoa_affinis,Aoa_affinis
NP_95_Y239_Saletara_liberia,Saletara_liberia
MFB_00_P195_Appias_drusilla,Appias_drusilla
MM06585_Pieris_rapae,Pieris_rapae
MFB_00_P467_Talbotia_naganum,Talbotia_naganum
MFB_00_P189_Leptophobia_aripa,Leptophobia_aripa
MFB_00_P221_Pieriballia_viardi,Pieriballia_viardi
MFB_00_P277_Itaballia_demophile,Itaballia_demophile
MFB_00_P202_Perrhybris_pamela,Perrhybris_pamela
MFB_00_P492_Baltia_butleri,Baltia_butleri
NP_99_T476_Pontia_helice,Pontia_helice
MFB_00_P170_Ascia_monuste,Ascia_monuste
MFB_00_P201_Ganyra_josephina,Ganyra_josephina
MFB_00_P449_Theochila_maenacte,Theochila_maenacte
MFB_00_P306_Tatochila_autodice,Tatochila_autodice
MFB_00_P432_Hypsochila_wagenknechti,Hypsochila_wagenknechti
MFB_00_P410_Pierphulia_rosea,Pierphulia_rosea
MFB_00_P416_Infraphulia_ilyodes,Infraphulia_ilyodes
MFB_00_P375_Phulia_nymphula,Phulia_nymphula
DL_00_Q546_Belenois_java,Belenois_java
SC_01_T400_Dixeia_charina,Dixeia_charina
MFB_00_P131_Cepora_perimale,Cepora_perimale
DL_00_Q610_Prioneris_philonome,Prioneris_philonome
NP_99_T486_Mylothris_agathina,Mylothris_agathina
DL_01_N104_Delias_belladonna,Delias_belladonna
MFB_00_P468_Leuciacria_acuta,Leuciacria_acuta
NW149_4_Aporia_crataegi,Aporia_crataegi
MFB_00_P316_Melete_lycimnia,Melete_lycimnia
MFB_00_P265_Leodonta_tellane,Leodonta_tellane
MFB_00_P283_Pereute_charops,Pereute_charops
MFB_00_P284_Eucheira_socialis,Eucheira_socialis
NGK_02_C419_Neophasia_menapia,Neophasia_menapia
MFB_00_P263_Archonias_brassolis,Archonias_brassolis
MFB_00_P395_Charonias_eurytele,Charonias_eurytele
MFB_00_P266_Catasticta_cerberus,Catasticta_cerberus
PM03_14_Curetis_barsine,Curetis_barsine
SP_93_P006_Baliochila_minima,Baliochila_minima
MWT_93_B007_Poritia_erycinoides,Poritia_erycinoides
KD_94_T063_Liphyra_brassolis,Liphyra_brassolis
PM03_11_Allotinus_leogoron,Allotinus_leogoron
KF_94_P022_Miletus_ancon,Miletus_ancon
JL10_14_Lycaena_alciphron,Lycaena_alciphron
KD_94_Q002_Lucia_limbaria,Lucia_limbaria
RE_01_H030_Jalmenus_daemeli,Jalmenus_daemeli
MM04799_Favonius_quercus,Favonius_quercus
DY_93_G038_Thecla_coelicolor,Thecla_coelicolor
AS_92_Z034_Callipsyche_behrii,Callipsyche_behrii
MWT93A051_Anthene_emolus,Anthene_emolus
MWT93A041_Pithecops_corvus,Pithecops_corvus
MWT93B058_Nacaduba_angusta,Nacaduba_angusta
TL96W903_Azanus_mirza,Azanus_mirza
DL02P705_Una_usta,Una_usta
TL97W507_Pseudonacaduba_aethiops,Pseudonacaduba_aethiops
KD93C021_Psychonotis_caelius,Psychonotis_caelius
MWT93D027_Caleta_elna,Caleta_elna
MWT93B024_Castalius_rosimon,Castalius_rosimon
AH00T289_Zintha_hintza,Zintha_hintza
KD94Q064_Zizeeria_karsandra,Zizeeria_karsandra
KD93C044_Catochrysops_panormus,Catochrysops_panormus
MWT93A070_Jamides_alecto,Jamides_alecto
TL97W513_Eicochrysops_hippocrates,Eicochrysops_hippocrates
MWT93B038_Lycaenopsis_haraldus,Lycaenopsis_haraldus
EW28_1_Celastrina_neglecta,Celastrina_neglecta
AP98W773_Actizera_lucida,Actizera_lucida
MWT93E012_Lampides_boeticus,Lampides_boeticus
AH95Y685_Cacyreus_marshalli,Cacyreus_marshalli
TL96W917_Phlyaria_cyara,Phlyaria_cyara
TL96W908_Uranothauma_falkensteini,Uranothauma_falkensteini
FH05M006_Caerulea_coeligena,Caerulea_coeligena
ALHU86.1_Maculinea_alcon,Maculinea_alcon
VL02L518_Scolitantides_orion,Scolitantides_orion
AD02W094_Glaucopsyche_lycormas,Glaucopsyche_lycormas
ADW05I826_Euphilotes_centralis,Euphilotes_centralis
JC96Q003_Iolana_iolas,Iolana_iolas
KED05I833_Philotes_sonorensis,Philotes_sonorensis
RV06H852_Pseudophilotes_panoptes,Pseudophilotes_panoptes
RV04G317_Turanana_endymion,Turanana_endymion
VL02L575_Otnjukovia_tatjana,Otnjukovia_tatjana
KD95Z506_Famegana_alsulus,Famegana_alsulus
KD_93_Q030_Theclinesthes_miskini,Theclinesthes_miskini
AAM98V076_Oraidium_barberae,Oraidium_barberae
KD94R033_Zizula_hylax,Zizula_hylax
AH98Y715_Lepidochrysops_dukei,Lepidochrysops_dukei
KD93C045_Euchrysops_cnejus,Euchrysops_cnejus
RV03V095_Leptotes_trigemmatus,Leptotes_trigemmatus
AD00P540_Cupido_minimus,Cupido_minimus
JXM99T709_Talicada_nyseus,Talicada_nyseus
NK00P594_Tongeia_fischeri,Tongeia_fischeri
DL99T242_Chilades_lajus,Chilades_lajus
AS92Z184_Aricia_acmon,Aricia_acmon
AS92Z005_Lycaeides_melissa,Lycaeides_melissa
AD00P266_Albulina_loewii,Albulina_loewii
RV03H454_Lysandra_coridon,Lysandra_coridon
NK00P562_Polyommatus_icarus,Polyommatus_icarus
MAT99Q841_Agrodiaetus_damon,Agrodiaetus_damon
JE01C283_Cyclargus_ammon,Cyclargus_ammon
MH01I001_Hemiargus_ceraunus,Hemiargus_ceraunus
RE01H234_Echinargus_huntingtoni,Echinargus_huntingtoni
MC04Z114_Pseudochrysops_bornoi,Pseudochrysops_bornoi
BD02B788_Pseudolucia_andina,Pseudolucia_andina
RV05M735_Eldoradina_cyanea,Eldoradina_cyanea
RV03V234_Nabokovia_cuzquenha,Nabokovia_cuzquenha
RV03V188_Paralycaeides_inconspicua,Paralycaeides_inconspicua
MFB00N166_Itylos_mashenka,Itylos_mashenka
RV03V314_Madeleinea_cobaltana,Madeleinea_cobaltana
NS0227_Euselasia_euromus,Euselasia_euromus
FM_50_Abisara_rutherfordi,Abisara_rutherfordi
JM4_12_Zemeros_sp,Zemeros_sp
NW148_12_Takashia_nana,Takashia_nana
NW84_13_Hamearis_lucina,Hamearis_lucina
NN77_Styx_infernalis,Styx_infernalis
NS0119_Alesa_amesis,Alesa_amesis
NS0090_Eurybia_rubeolata,Eurybia_rubeolata
NS0332_Eunogyra_curupira,Eunogyra_curupira
NS0313_Hyphilaria_thasus,Hyphilaria_thasus
NS0378_Ithomiola_nepos,Ithomiola_nepos
NS0375_Voltinia_cebrenia,Voltinia_cebrenia
NS0435_Napaea_heteroea,Napaea_heteroea
NS0047_Ionotus_alector,Ionotus_alector
NS0058_Leucochimona_icare,Leucochimona_icare
NS0191_Mesophthalma_idotea,Mesophthalma_idotea
NS0053_Mesosemia_rhodia,Mesosemia_rhodia
NS0348_Perophthalma_tullius,Perophthalma_tullius
NS0142_Semomesia_marisa,Semomesia_marisa
NS0107_Halonympha_paucipuncta,Halonympha_paucipuncta
NS0115_Harveyope_eudocia,Harveyope_eudocia
NS0106_Zabuella_castanea,Zabuella_castanea
NS0372_Zabuella_tenellus,Zabuella_tenellus
NS0457_Pseudotinea_hemis,Pseudotinea_hemis
NS0004_Theope_,Theope_sp
NS0362_Roeberella_,Roeberella_sp
NS0497_Protonymphidia_senta,Protonymphidia_senta
NS0420_Stalachtis_calliope,Stalachtis_calliope
NS0358_Nymphidium_cf_olinda,cf_olinda
NS0379_Mycastor_leucarpis,Mycastor_leucarpis
NS0052_Catocyclotes_aemulius,Catocyclotes_aemulius
NS0127_Livendula_epixante,Livendula_epixante
NS0462_Pandemus_pasiphae,Pandemus_pasiphae
NS0138_Zelotaea_phasma,Zelotaea_phasma
NS0137_Calospila_rhesa,Calospila_rhesa
NS0181_Setabis_,Setabis_sp
NS0103_Menander_menander,Menander_menander
NS0318_Juditha_azan,Juditha_azan
NS0383_Synargis_regulus,Synargis_regulus
PDV_94_T013_Uraneis_hyalina,Uraneis_hyalina
NS0116_Ariconias_glaphyra,Ariconias_glaphyra
NS0081_Thisbe_spn,Thisbe_spn
NS0093_Lemonias_stalachtioides,Lemonias_stalachtioides
NS0361_Calydna_cea,Calydna_cea
NS0192_Echydna_chaseba,Echydna_chaseba
NS0290_Echenais_thelephus,Echenais_thelephus
NS0141_Sarota_,Sarota_sp
