"","Estimate","Std. Error","t value","Pr(>|t|)"
"Host_families_std",0.515192109752232,0.290315563240884,1.77459349406205,0.0844223384750643
"Host_species_std",0.45526356402065,0.132211252467196,3.44345549660087,0.00147350516453836
"Hosts_mean_std",0.246154374242462,0.195973269122257,1.25606096864618,0.217184478587646
"Hosts_pgen_std",0.18855526528118,0.298446356899954,0.631789468766705,0.531516288033523
"Hosts_pd_std",0.692352283052231,0.18133791288171,3.81802278436867,0.00168017687944278
