Pair,Clade,Sequence_id,Aln_len_bases,Num_loci_used
36,Poanes,21_ADW_Poanes_taxiles,11853,7
36,Outgroup,AW50_Ochlodes_sylvanoides,11853,7
37,Conga,204_ADW_Conga_chydaea,11898,7
37,Nyctelius,160_ADW_Nyctelius_nyctelius,11898,7
37,Outgroup,220_ADW_Atalopedes_campestris,11898,7
38,Hesperia,42_ADW_Hesperia_leonardus,11187,7
38,Pseudocopaeodes,229_ADW_Pseudocopaeodes_eunus,11187,7
38,Outgroup,220_ADW_Atalopedes_campestris,11187,7
39,Corticea,173_ADW_Corticea_corticea,10062,7
39,Anthoptus,63_ADW_Anthoptus_epictetus,10062,7
39,Outgroup,UK26_Molo_mango,10062,7
40,Remella,501_ADW_Remella_rita,10611,7
40,Mnasicles,209_ADW_Mnasicles_hicetaon,10611,7
40,Outgroup,30_ADW_Amblyscirtes_exoteria,10611,7
41,Halotus,ADW642_Halotus_jonaveriorum,9126,7
41,Mucia,ADW345_Mucia_gulala,9126,7
41,Outgroup,635_ADW_Niconiades_xanthaphes,9126,7
42,Saturnus,346_ADW_Saturnus_metonidia,8622,7
42,Parphorus,ADW479_Parphorus_fartuga,8622,7
42,Outgroup,349_ADW_Vidius_catarinae,8622,7
43,Cymaenes,77_ADW_Cymaenes_alumna,12051,7
43,Vidius,349_ADW_Vidius_catarinae,12051,7
43,Outgroup,267_ADW_Mnasilus_allubita,12051,7
44,Mnasilus,267_ADW_Mnasilus_allubita,12420,7
44,Papias,210_ADW_Papias_phainis,12420,7
44,Outgroup,79_ADW_Vehilius_putus,12420,7
45,Lerodea,ADW641_Lerodea_eufala,9567,7
45,Monca,507_ADW_Monca_crispinus,9567,7
45,Outgroup,267_ADW_Mnasilus_allubita,9567,7
46,Ixias,DL_00_Q581_Ixias_pyrene,11889,7
46,Eronia,SC_01_T424_Eronia_cleodora,11889,7
46,Outgroup,SC_01_T434_Colotis_hetaera,11889,7
47,Cunizza,MFB_00_P398_Cunizza_hirlanda,12933,7
47,Hesperocharis,MFB_00_P268_Hesperocharis_crocea,12933,7
47,Outgroup,MFB_00_P437_Eroessa_chiliensis,12933,7
48,Zegris,RV_08_H240_Zegris_eupheme,9648,7
48,Euchloe,AF_94_A022_Euchloe_ausonides,9648,7
48,Outgroup,NW151_2_Anthocharis_cardamine,9648,7
49,Baltia,MFB_00_P492_Baltia_butleri,11673,7
49,Pontia,NP_99_T476_Pontia_helice,11673,7
49,Outgroup,MFB_00_P170_Ascia_monuste,11673,7
50,Belenois,DL_00_Q546_Belenois_java,10935,7
50,Dixeia,SC_01_T400_Dixeia_charina,10935,7
50,Outgroup,NW149_4_Aporia_crataegi,10935,7
51,Cepora,MFB_00_P131_Cepora_perimale,10737,7
51,Prioneris,DL_00_Q610_Prioneris_philonome,10737,7
51,Outgroup,NW149_4_Aporia_crataegi,10737,7
52,Delias,DL_01_N104_Delias_belladonna,8820,7
52,Leuciacria,MFB_00_P468_Leuciacria_acuta,8820,7
52,Outgroup,NW149_4_Aporia_crataegi,8820,7
53,Calospila,NS0137_Calospila_rhesa,11871,7
53,Setabis,NS0181_Setabis_,11871,7
53,Outgroup,NS0462_Pandemus_pasiphae,11871,7
54,Anteros,NS0386_Anteros_formosus,9927,7
54,Helicopis,NS0347_Helicopis_cupido,9927,7
54,Outgroup,NS0481_Mesenopsis_jordana,9927,7
55,Riodina,NS0110_Riodina_lysisca,11655,7
55,Notheme,NS0303_Notheme_erota,11655,7
55,Outgroup,NS0316_Chorinea_amazon,11655,7
56,Panara,NS0365_Panara_soana,11421,7
56,Chorinea,NS0316_Chorinea_amazon,11421,7
56,Outgroup,NS0108_Melanis_aegates,11421,7
57,Harma,NW102_8_Harma_theobene,12357,7
57,Cymothoe,NW102_16_Cymothoe_caenis,12357,7
57,Outgroup,NW135_1_Lexias_pardalis,12357,7
58,Euphaedra,NW95_16_Euphaedra_herberti,12771,7
58,Bebearia,NW102_15_Bebearia_sophus,12771,7
58,Outgroup,NW99_10_Euriphene_tadema_,12771,7
59,Aterica,NW102_9_Aterica_galene,13131,7
59,Euriphene,NW99_10_Euriphene_tadema_,13131,7
59,Outgroup,NW107_18_Euryphura_chalcis,13131,7
60,Eueides,KK_02_2001_Pe_Eueides_lybia,15201,7
60,Heliconius,KK_NCS2556_FG_Heliconius_erato,15201,7
60,Outgroup,KK_2921_P_Dryadula_phaetusa,15201,7
61,Algiachroa,NW136_8_Algiachroa_woodfordi,13635,7
61,Cirrochroa,NW131_6_Cirrochroa_tyche,13635,7
61,Outgroup,DL01_Q637_Algia_fasciata,13635,7
62,Hestina,NW143_6_Hestina_mena,15165,7
62,Euripus,NW112_20_Euripus_nyctelius,15165,7
62,Outgroup,NW69_6_Apatura_iris,15165,7
63,Hestinalis,NW156_15_Hestinalis_divona,12978,7
63,Mimathyma,NW84_7_Mimathyma_schrenckii,12978,7
63,Outgroup,NW69_6_Apatura_iris,12978,7
64,Biblis,NW106_3_Biblis_hyperia,14355,7
64,Vila,NW129_18_Vila_azeka,14355,7
64,Outgroup,NW83_5_Mesoxantha_ethosea,14355,7
65,Mestra,NW129_22_Mestra_hypermestra,13239,7
65,Archimestra,NW152_8_Archimestra_teleboas,13239,7
65,Outgroup,NW83_5_Mesoxantha_ethosea,13239,7
66,Mesoxantha,NW83_5_Mesoxantha_ethosea,12447,7
66,Neptidopsis,NW99_14_Neptidopsis_ophione,12447,7
66,Outgroup,NW88_14_Byblia_anvatara,12447,7
67,Batesia,NW109_5_Batesia_hypochlora,14058,7
67,Panacea,NW109_8_Panacea_regina,14058,7
67,Outgroup,NW114_3_Ectima_thecla,14058,7
68,Sevenia,NW88_15_Sevenia_boisduvali,12330,7
68,Eunica,bb19_Eunica_bechina,12330,7
68,Outgroup,NW119_3_Paulogramma_tolima,12330,7
69,Diaethria,NW126_29_Diaethria_clymena,12627,7
69,Perisama,bb40_Perisama_cabirnia,12627,7
69,Outgroup,NW119_3_Paulogramma_tolima,12627,7
70,Chersonesia,NW106_16_Chersonesia_rahria,13653,7
70,Cyrestis,NW100_11_Cyrestis_thyodamas,13653,7
70,Outgroup,NW152_12_Marpesia_eleuchea,13653,7
71,Symbrenthia,NW97_3_Symbrenthia_lilaea,12789,7
71,Mynes,NW161_5_Mynes_katharina,12789,7
71,Outgroup,NW160_3_Araschnia_levana,12789,7
72,Nymphalis,NW62_2_Nymphalis_polychloros,13977,7
72,Kaniska,NW164_1_Kaniska_canace,13977,7
72,Outgroup,NW65_6_Polygonia_comma,13977,7
73,Metamorpha,NW87_2_Metamorpha_elissa,13239,7
73,Anartia,NW68_5_Anartia_amathea,13239,7
73,Outgroup,NW69_5_Siproeta_stelenes,13239,7
74,Anetia,NW152_6_Anetia_briarea,15075,7
74,Lycorea,NW122_19_Lycorea_halia,15075,7
74,Outgroup,NW70_8_Euploea_camaralzeman,15075,7
75,Idea,NW84_14_Idea_leuconoe,14391,7
75,Euploea,NW70_8_Euploea_camaralzeman,14391,7
75,Outgroup,NW86_5_Amauris_ellioti,14391,7
76,Caerois,CP09_56_Caerois_chorinaeus,13302,7
76,Morpho,NW66_5_Morpho_helenor,13302,7
76,Outgroup,NW126_3_Opoptera_syme,13302,7
77,Amathusia,NW114_17_Amathusia_phidippus,13671,7
77,Amathuxidia,NW111_14_Amathuxidia_amythaon,13671,7
77,Outgroup,NW106_10_Zethera_incerta,13671,7
78,Paratisiphone,NW162_1_Paratisiphone_lyrnessa,12474,7
78,Tisiphone,NW124_21_Tisiphone_abeona,12474,7
78,Outgroup,EW10_4_Heteronympha_merope,12474,7
